키워드,남성(%),여성(%),연령대별 특성,12세 이하(%),13~19세(%),20~24세(%),25~29세(%),30~39세(%),40~49세(%),50세 이상(%),2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10
기념일 계산기,32.9,67.09,"25~29세, 30~39세",0.02,1.45,8.23,24.71,45.73,14.96,4.87,93600,92900,103600,92400,99700,95800,96000,93300,91100,93600,94300,93200,86100,84000,92600,81700,86200,84900,85100,88400,89900,90200,82200,87200,80500,74500,85200,74500,80100,76500,76500,73200,74100,73700,73400,72100,65500,63400,67200,64300,69500,65300,66600,64700,65100,65400,64600,60800
숙취해소제,43.39,56.6,,0.04,7.86,12.06,15.42,25.78,23.48,15.34,51500,44840,52460,38130,43220,55330,65850,54960,52250,49620,65610,64610,66290,76060,77410,58190,69450,58450,55350,53490,52170,46920,47820,45290,48080,45840,71690,54320,59280,49230,54040,46370,48240,46420,44030,43570,46440,66390,69950,65510,67030,53740,46730,50540,44020,37840,34360,32040
음력 생일,28.65,71.34,30~39세,0.03,2.33,8.84,20.53,46.2,16.67,5.36,31870,39670,43860,34500,36910,33040,30470,32770,33030,39930,35650,48460,44430,50860,62680,50720,45580,45300,47370,63370,52750,50020,45040,51320,55030,58400,73900,61510,61010,52390,51310,50090,52680,66770,42110,43730,57280,56940,61920,51970,50440,44410,38940,39250,36850,33480,36990,40090
회식의달인,57.61,42.38,,0.03,4.94,11.48,12.62,26.6,29.5,14.8,5810,4660,4400,3930,5010,5920,7040,6760,7280,6290,5670,6480,7900,10770,8710,9780,10290,9090,8770,7330,7660,7520,8270,7690,10180,15860,23500,20540,18350,22110,24450,24760,30170,36690,33310,34670,53100,45540,38670,46700,49940,41860,41650,35580,44950,55010,43510,44920
생년월일 운세,43.14,56.85,50세 이상,0.01,1.09,1.55,6.22,22.16,19.74,49.2,35700,38830,38030,33650,35630,34190,34910,35040,35900,35990,33660,34230,34520,35680,34970,31020,33900,33410,34400,33170,32110,31060,29240,30830,31690,33150,39420,34820,92140,80080,91760,90350,91870,79720,78140,58070,62850,71140,90170,76570,31500,30920,30380,29780,30390,28230,28010,26940
김성근의 겨울방학,47.25,52.74,,0.57,5,4.61,15.39,39.46,24.06,10.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,19,30,120,257600,133360,50060,18470,14210,11340,15470,11990,6810
생일,32.4,67.59,,1.37,15.3,10.76,12.11,22.95,20.68,16.79,62230,66370,81490,72160,66000,105330,59140,55320,54350,63040,52950,55700,56190,64180,71080,66340,64930,59720,54130,53020,52590,53600,51710,51710,79630,58840,63650,52620,57960,53700,48770,66100,77030,50290,43530,48880,47290,45540,52330,43810,47920,43910,38470,37180,37770,37270,38130,36510
생일 축하 메시지,32.72,67.27,50세 이상,0.36,2.98,3.04,3.4,8.2,17.14,64.85,53030,58890,63440,57640,57600,56550,56740,51410,51430,51350,50540,49060,47520,52580,57820,52410,43250,39600,54330,48970,47910,48790,46930,49610,50020,53990,61920,54270,55850,49890,49070,45460,46710,48380,47480,49530,45970,48520,50990,50050,49850,43680,41890,38110,33670,29120,37150,34590
생일 축하 송,33.07,66.92,50세 이상,1.33,7.64,3.82,5.92,12.81,16.06,52.39,41810,50990,50740,41810,41790,41750,41710,41630,41730,34330,34330,41910,41810,41930,41880,41860,34480,34250,50670,41630,41640,41690,41550,50620,50650,50740,50620,50530,50630,50590,41760,41620,41490,41530,41590,50730,50710,50760,50660,50350,50530,41290,41380,33960,33810,27710,33870,33850
생일선물,30.75,69.24,,2.12,13.71,9.24,14.56,25.85,19.21,15.28,92330,102930,130800,116380,118140,99130,85240,83270,87450,98080,81200,84280,81270,84260,106950,83710,89210,79810,70050,67440,72770,74480,65230,62990,62430,63370,74160,67990,64170,57660,50930,51250,52660,53410,50440,46580,45740,46780,53450,51020,47880,40340,37270,36300,36670,35420,36670,31030
남자친구 생일선물,5.92,94.07,"20~24세, 25~29세",0.07,10.37,28.93,35.11,19.7,3.87,1.9,36710,38390,55340,45580,45050,37470,31520,35280,36990,37930,30730,49640,53140,55460,76960,62020,55330,50170,56780,55360,62740,62710,59510,53670,53020,48560,70030,56790,57590,49780,48390,49050,51390,49780,44270,43390,39030,33180,48430,40890,42120,32340,33690,30980,34870,35670,30990,25710
생일 상차림 메뉴,11.83,88.16,,0.01,0.45,3.69,11.24,26.89,29.88,27.81,67710,90390,93790,84420,72520,59360,54020,54080,55130,58340,48510,57080,52130,60000,59910,62630,43130,38310,47880,41980,37370,43840,38120,42220,43510,47730,57450,42430,46550,39150,41180,39700,40950,42970,34360,39470,34620,40070,40970,41180,40570,35000,32950,32460,27230,30250,35860,30310
여자친구 생일선물,76.04,23.95,"20~24세, 25~29세",0.13,12.33,27.34,30.3,21.37,5.5,3,34100,35670,47880,42140,42950,33750,38630,36180,38980,42390,39080,41270,38140,38610,57870,45720,53450,50010,49980,47710,48960,49450,45270,43750,38830,40680,52880,49440,49750,47390,41430,42700,44790,44240,42690,41950,33860,31480,44170,39290,38350,29440,31590,28590,32670,33490,29670,24500
약속의 네버랜드,33.85,66.14,13~19세,0.9,22.89,18.99,22.3,20.54,10.38,3.97,48000,51560,63760,53990,118270,102500,60190,50790,52310,85290,41520,36490,35830,37000,55690,44190,33650,32360,34230,28720,29250,27110,22700,21990,23580,27200,29240,27190,22100,21980,22880,23390,25780,28010,26460,24440,22720,27630,29670,29040,29330,29150,30500,41500,42890,38820,30680,33930
별자리 생일,21,78.99,13~19세,0.57,27.63,20.52,11.21,16.15,16.46,7.41,38230,42570,48880,33730,31650,30800,30150,35460,34430,36670,31980,37550,38450,34340,33180,26240,25530,34610,30810,28900,27150,28540,28110,30010,33320,37070,48200,34290,36100,33370,34730,31140,29370,32130,34150,35370,34790,26400,26860,22630,26220,27170,26710,34270,33660,41090,41090,36380
생일선물 추천,25.19,74.8,"12세 이하, 13~19세",4.04,19.18,13.05,16.59,16.37,15.04,15.7,36350,42360,52010,51900,51960,43240,35990,35180,35990,42890,36530,44570,45390,53610,75750,62730,50970,52540,45810,44310,45360,51510,45490,44800,44720,45770,55880,53150,52510,44670,37980,38580,40010,44060,36840,36770,31400,35880,43170,36930,38100,29170,27200,25370,28820,28650,26030,20810
생일 축하,39.18,60.81,50세 이상,0.34,8.33,6.17,7.5,16.39,21.98,39.25,39420,46730,49090,47530,47570,39650,39470,38180,33510,39440,41350,41900,41210,41010,46510,42630,41280,39940,41810,40750,40490,40830,40290,40710,40740,41250,43530,41620,43140,39980,40630,33790,34760,34450,34430,35870,34180,33560,34350,29670,34830,29160,28910,27910,27300,22500,26700,25850
생일상,15.29,84.7,,0.06,1.41,4.85,13.7,36.27,29.21,14.47,31190,37450,39710,37950,36760,31260,30740,29280,31930,34960,29260,35080,35930,38780,40970,37720,32090,29250,34980,33200,32110,37190,30000,31760,30260,31640,37190,32280,32600,27730,27060,27160,30510,31590,28500,30790,29790,30540,32260,31890,30530,24850,23490,22930,21960,21500,23840,21410
생일 축하 메세지,23.53,76.46,50세 이상,0.08,3.63,4.81,5.34,16.42,24.47,45.21,21150,23610,26310,22850,24870,22980,21770,21600,21610,22810,22190,28150,29650,31270,35090,32940,29830,28640,33540,31390,31490,30760,29530,33500,33690,34430,40100,35140,37500,36760,38580,34350,35880,32710,29270,32240,30310,30000,30760,29420,29600,26610,23310,21660,19840,18050,22210,19190
생일 축하 짤,16.24,83.75,"20~24세, 25~29세",1.12,17.71,23.55,24.42,22.46,5.21,5.5,28890,29100,37350,36860,37040,36500,35510,30610,35440,35820,31250,30940,30230,34440,35890,34920,30150,30030,29820,29590,29780,34510,30190,29840,28740,27830,34360,28630,28660,28420,27800,24430,25080,28900,28840,28690,24520,24600,29090,25700,28810,28340,23400,22690,22900,20380,20530,17350
생일상 차림 메뉴,11.83,88.16,,0.01,0.45,3.69,11.24,26.89,29.88,27.81,49610,63290,66690,57320,50320,41260,39220,39280,37030,40240,33710,38980,37330,41900,41810,40430,31030,26210,33080,27180,25270,29040,26020,27420,28710,32930,39350,27630,31750,27050,26380,24900,26150,28170,22260,24670,22520,25270,26170,26380,25770,22900,23050,22560,19130,20350,23760,20410
외식1번가,38.27,61.72,50세 이상,0.01,1.48,3.9,6.3,22.84,32.96,32.47,27220,25040,22580,17490,20320,32700,45440,30260,32410,32300,27810,26150,25750,37230,31230,24790,20780,23790,34040,20510,24290,25070,26290,22100,25590,38970,27730,28010,22130,22990,28810,19770,22730,24470,25730,18900,22140,31480,28890,19940,20040,20250,26810,18390,21710,22470,20310,23630
웃으면 안되는 생일파티,32.06,67.93,13~19세,1.52,22.13,15.26,11.45,21.37,22.9,5.34,,,,,,,,,,,,,,210,210,320,260,1000,14870,6630,3612,1611,390,905,720,480,390,390,320,903,3070,930,498,4800,1010,13680,16520,5810,3750,3940,18640,34750,41610,8450,15580,92810,15270,8290
약속,45.12,54.87,,0.34,7.59,8.38,11.17,20.38,27.78,24.33,43020,49460,43790,36280,43630,38610,39020,32800,32960,32830,32150,32650,28600,28600,29700,29540,40870,32660,33220,37300,27510,31280,28810,38040,39360,31270,30450,31380,26410,36700,28190,24000,24510,24050,24140,23760,21150,20600,22370,22830,26470,25290,21980,20730,21600,21580,19240,18300
음력 생일 계산,32.58,67.41,30~39세,0.04,2.91,11.07,22.8,41.74,15.2,6.2,32570,40800,48650,34980,34000,30710,28020,29750,28210,34600,28410,28600,22580,26790,32460,26100,22910,19650,22780,30110,24380,24410,22810,25180,25300,28760,36690,28680,27800,23640,23790,23040,24150,33710,12560,12620,17490,24350,31530,25070,23150,20200,17360,18130,19220,19220,23560,22110
숙취,40.6,59.39,,0.07,13.15,16.16,16.16,27.52,17.89,9.01,28940,29110,34230,24920,27570,29720,34310,29150,28270,27830,28360,26660,26630,30360,40760,29940,28480,25580,27920,25780,25880,25360,26120,22890,23950,28830,33070,25580,25620,23250,27620,24290,23340,23500,21970,20310,20520,23540,28270,21740,22210,18110,22820,18410,20770,20820,16130,16010
생일 케이크,32.58,67.41,,0.4,7.77,12.56,16.15,27.01,19.17,16.89,22110,24960,24940,24120,24790,21650,21230,20980,21180,22670,22040,23710,23540,25210,26510,23060,22740,20540,22930,20340,22010,22990,21930,22770,22890,23190,25910,21640,23160,22170,21770,21400,22360,23920,22560,23430,21660,22900,23180,23910,23600,19580,18720,17880,17310,18150,21050,19770
백년의 약속,26.72,73.27,50세 이상,0,0.55,1.17,4.84,15.1,25.17,53.14,13960,14020,11340,9380,12020,13840,11840,11830,16930,11610,11510,12140,18820,18830,11970,11680,58680,33080,40090,32030,30670,25690,25550,25290,20680,25030,20260,20750,20110,20280,20520,20140,16780,14190,14440,14490,14170,32340,21100,17240,17130,26040,20830,17120,17060,17190,18910,21930
숙취 해소법,33.16,66.83,20~24세,0.05,10.73,23.76,16.88,22.4,16.88,9.28,38710,32910,39070,27550,32430,38310,40470,34200,33870,33260,33770,28980,26480,29670,36760,28470,27370,26220,27840,25400,26290,25810,25920,24360,23420,34310,31630,25620,25710,22320,26480,24470,22980,23500,23040,21410,22100,24460,26350,20010,21270,17600,20180,18170,16350,16430,14300,14610
스타벅스 생일쿠폰,26.63,73.36,,0,3.4,8.57,14.68,33.7,30.12,9.51,11230,12070,15970,14970,13600,11920,11830,11450,11350,11690,12380,13380,12680,13760,17660,19600,17700,15460,15480,14370,15420,14780,15360,16000,14310,16090,19340,18030,16990,18530,17690,16650,17600,18590,18770,18920,17210,17300,23030,22670,22930,19440,18700,16360,17140,17590,18620,18700
숙취 해소 법,33.16,66.83,20~24세,0.05,10.73,23.76,16.88,22.4,16.88,9.28,37830,32030,38190,26960,31840,37720,39880,33720,33390,32870,33380,28660,26160,29350,36280,28080,27050,25900,27520,25080,25970,25550,25530,24100,23030,33720,31040,25140,25120,21840,25760,23990,22590,23180,22780,21150,21840,24140,25870,19620,20680,17210,19700,17780,15960,16110,13980,14350
생일 상,15.29,84.7,,0.06,1.41,4.85,13.7,36.27,29.21,14.47,19200,22790,25050,23320,22100,19300,18780,19490,19970,23000,19530,25320,26140,28990,29010,27930,24100,21220,27020,25190,24100,27400,21990,23770,22270,23610,27400,22490,22770,19720,19050,19150,20720,21780,20490,22780,21760,22550,22450,22080,20740,16840,15460,14900,13930,13470,15850,13380
기념일,37.39,62.6,,0.33,14.73,19.1,20.25,27.16,10.47,7.94,25870,21280,22990,29360,35650,27790,35030,27050,23020,25350,33150,30750,28080,20720,22220,29040,36310,29560,32600,26410,22330,22040,19930,22880,22060,18240,20240,25040,29640,22830,29790,22290,20930,21870,19190,20980,20430,14780,15810,21460,23210,18180,22010,16710,14880,15580,14760,15310
결혼기념일 선물,55.93,44.06,,0.38,9.92,7.52,7.44,35.7,26.64,12.36,62520,44470,26770,31670,40910,47500,37020,18420,7150,12640,23180,47630,52560,35270,22410,22990,30410,41240,36810,19010,6640,10540,20750,41890,44050,25650,16830,19340,26380,34250,27860,15870,6920,10850,20090,40520,36820,18860,12630,16940,23000,23940,21890,9820,4560,7300,14660,19810
아웃백 생일쿠폰,28.75,71.24,30~39세,0.02,1.71,8.53,15.73,45.02,25.47,3.48,22060,26180,34930,24370,14420,11980,13030,13890,18010,20290,19160,20280,20520,25920,31800,29130,19410,15410,17080,15450,18280,19730,16220,16400,16290,19470,19060,15730,12760,10750,11690,11300,13880,14400,14480,15340,13220,17870,18710,17580,14270,12310,13920,13670,13800,16270,15660,17130
숙취 두통,34.34,65.65,,0,4.35,16.61,22.64,34.96,16.93,4.48,21690,19840,20390,16170,18050,22200,22650,20420,20760,19890,19540,21580,20760,24860,24050,18860,20200,20760,20480,19140,19310,18310,19600,19240,19260,25980,21090,18430,19580,18220,19960,18690,16970,16930,17430,16300,17400,18820,19070,14210,16260,14820,15710,14410,13470,13410,11840,12800
주말,41.96,58.03,,0.13,5.68,5.56,10.07,22.41,26.58,29.53,20680,19420,18650,19320,22640,24800,23270,21310,20320,23970,24650,24130,21670,20380,20400,23430,26310,24680,22650,23870,22940,19000,18680,17420,17180,16460,17030,14960,22020,19340,19350,21450,17080,16050,14410,15610,15500,14290,13780,13970,18060,17480,15270,15660,14420,13970,14860,13250
생일 축하해 짤,16.9,83.09,"13~19세, 20~24세",2.81,21.83,33.09,19.01,15.49,2.11,5.63,18270,18280,22550,22660,22670,22680,22590,18460,22540,22590,18430,18430,18340,22480,22528,22490,18370,18340,18320,18360,18390,22470,18390,18340,18330,18310,22430,18310,18310,18290,18300,15000,14990,18400,18330,18350,15020,14980,18340,15060,18330,18310,14980,15000,15010,12280,12300,10100
웃소 혼밥회식,11.53,88.46,"12세 이하, 13~19세",38.46,19.23,7.69,7.69,15.38,11.53,0,33142,33156,49603,40557,40550,40569,27164,27150,27163,33140,33150,27176,27152,22341,33160,27187,22260,22251,22242,18132,18145,9984,6710,8195,6681,8160,6694,4483,3651,4430,5422,5472,5442,3634,2941,4435,9941,18123,27171,18191,14844,14843,12203,12232,14853,14896,12173,9962
하나님의 약속,30.55,69.44,50세 이상,0.28,4.38,7.35,8.48,17.53,29.7,32.24,5540,6670,15200,10020,7660,7830,9500,9350,9450,7660,9340,9360,9400,9390,11800,9410,9520,9540,13550,13470,13380,11050,13410,13460,11190,11230,20250,13550,11220,13450,13450,13480,13260,13210,11100,13540,13480,13480,20370,16140,16080,13070,16200,13420,13320,13350,13230,13160
생일 짤,21.67,78.32,"13~19세, 20~24세",1.39,32.36,29.57,18.91,12.86,2.98,1.9,17730,18180,24240,23090,24120,23070,21880,20220,24120,25850,24680,24110,22900,21830,27660,22700,22410,21800,19490,19010,19620,20240,19270,19000,18160,17370,22060,18750,18700,18350,16740,15720,16100,17420,16560,15880,15540,15170,19280,16530,17750,14430,12500,11830,11950,13470,11970,12840
숙취 해소,41.1,58.89,,0.06,4.3,9.39,13.96,25,24.32,22.95,21440,19020,19790,17060,16870,20780,21740,18210,17960,26110,38790,38000,26620,23180,24800,20360,21460,18990,18310,17640,17670,17260,17290,16120,16800,25380,20450,16120,16620,14160,16690,16020,15230,15130,15090,13360,15460,18170,17350,15420,14780,12420,12660,12670,12930,11810,11730,10590
생일 파티,13.92,86.07,,0.39,4.33,5.15,11.11,38.87,30.89,9.22,19950,18710,22440,22000,23100,20290,19840,20320,19570,20390,17720,19140,19960,17080,21410,19200,20870,17670,18020,16380,16060,16140,15080,15530,15110,13340,16080,12900,15640,15070,13660,15140,16700,18680,13400,14790,20410,13520,16850,16100,15300,13320,11890,10890,10940,15650,9880,8470
결혼기념일,32.63,67.36,30~39세,0.15,3.43,3.23,8.49,43.88,26.98,13.79,30900,23810,16980,17860,22550,25570,24050,16730,10130,14350,18980,33870,32500,23890,17820,16160,21480,26980,22970,15540,7510,9740,15310,28570,28600,20720,15680,15020,19810,22330,21290,13830,9060,10600,15490,26170,25140,16980,11650,12270,15360,15140,15210,9200,5660,7390,10750,15150
회식,45.44,54.55,,0.25,6.81,10.2,15.54,28.82,24.31,14.03,20000,15600,9860,8550,12290,22760,23050,19310,19110,16950,15450,17500,18200,23180,16390,15840,19240,18070,17400,16380,16380,14050,12900,12950,16000,20040,15920,13300,15350,14870,15460,14950,16680,14710,13150,13470,16000,20700,13460,13250,12970,11710,11240,11380,13130,11640,11690,9350
생일 축하 이미지,32.42,67.57,50세 이상,0.23,0.73,1.83,3.2,9.3,19.8,64.87,13820,19500,25390,24490,22610,18810,13910,12890,14600,13800,11400,10950,9430,11340,13330,13420,11720,11250,14850,13080,12550,13410,12290,14890,16210,18510,23350,19420,19670,15580,14620,12840,13520,12620,12900,14130,12530,13090,14810,13560,15540,13310,12740,11780,10860,9280,12150,12070
치팅데이,43.7,56.29,,0.31,7.16,12.01,12.01,26.24,25.57,16.68,23720,21560,29910,27570,28210,26660,26640,26340,27750,26050,20930,20010,18030,14240,22600,29350,26780,25800,26150,25980,28500,25760,22310,16890,17060,13420,20000,16470,21160,22160,22910,24700,21060,18960,14570,15560,15150,10580,12090,12960,14420,13550,12870,12490,14180,12560,11510,9050
계모임,44.55,55.44,,0.4,10.02,12.66,19.63,31.03,19.21,7.01,9790,10500,10390,8580,8950,9680,10250,13220,11820,13630,11030,11480,16280,16840,19620,18010,16410,16400,18410,15870,16550,16540,14600,16650,15950,19730,22540,17080,13840,12580,12580,14200,13170,12010,10940,10650,9660,9650,12740,12270,11030,10280,11080,12430,13290,12930,9160,9150
생일 이벤트,28.67,71.32,50세 이상,0.01,1.3,3.32,7.26,20.17,28.15,39.77,10440,9870,11540,10760,11690,11650,11400,11520,12330,15900,14360,15440,16000,15980,19140,16900,15440,13320,14760,15010,14960,15070,13110,15490,15870,13800,17740,14160,15490,13310,13070,13450,13670,14140,11190,11680,14730,12250,14220,11830,10430,8380,7420,6910,7890,10840,11780,10870
